web-scraper-order,web-scraper-start-url,Name,Position,Team,G-val,AB-val,R-val,H-val,2B-val,3B-val,HR-val,RBI,BB-val,SO-val,SB-val,CS-val,AVG,OBP,SLG,OPS
1718118617-328,https://www.milb.com/stats/?page=5,NickN MatonMaton,SS,NOR,34,123,18,34,6,0,5,25,13,34,0,1,0.276,0.345,0.447,0.792
1718118617-329,https://www.milb.com/stats/?page=5,CurtisC MeadMead,2B,DUR,29,107,19,30,6,1,5,15,10,25,2,2,0.28,0.358,0.495,0.853
1718118617-330,https://www.milb.com/stats/?page=5,DrewD MillasMillas,C,ROC,30,107,11,33,6,0,5,22,8,16,5,1,0.308,0.353,0.505,0.858
1718118617-331,https://www.milb.com/stats/?page=5,NickN PodkulPodkul,3B,LHV,39,115,23,24,3,0,5,18,19,45,1,1,0.209,0.336,0.365,0.701
1718118617-332,https://www.milb.com/stats/?page=5,JakeJ SlaughterSlaughter,2B,IOW,32,111,17,33,6,0,5,17,15,32,10,1,0.297,0.392,0.486,0.878
1718118638-333,https://www.milb.com/stats/?page=4,WillW RobertsonRobertson,RF,BUF,46,147,22,32,7,0,7,29,22,55,2,1,0.218,0.326,0.408,0.734
1718118638-334,https://www.milb.com/stats/?page=4,ThomasT SaggeseSaggese,SS,MEM,55,206,32,47,10,1,7,28,15,52,5,3,0.228,0.299,0.388,0.687
1718118638-335,https://www.milb.com/stats/?page=4,DrewD WatersWaters,CF,OMA,50,188,41,52,14,2,7,33,20,57,9,5,0.277,0.35,0.484,0.834
1718118638-336,https://www.milb.com/stats/?page=4,AkilA BaddooBaddoo,CF,TOL,40,150,28,38,7,4,6,22,25,40,16,5,0.253,0.36,0.473,0.833
1718118638-337,https://www.milb.com/stats/?page=4,StewardS BerroaBerroa,CF,BUF,53,155,33,46,5,1,6,25,20,46,27,7,0.297,0.381,0.458,0.839
1718118638-338,https://www.milb.com/stats/?page=4,OwenO CaissieCaissie,RF,IOW,55,196,25,56,13,1,6,33,39,67,5,2,0.286,0.412,0.454,0.866
1718118638-339,https://www.milb.com/stats/?page=4,IsaacI CollinsCollins,LF,NAS,55,194,42,56,18,3,6,40,34,41,9,3,0.289,0.402,0.505,0.907
1718118638-340,https://www.milb.com/stats/?page=4,JeterJ DownsDowns,SS,SWB,44,145,28,36,9,3,6,23,20,48,6,3,0.248,0.347,0.476,0.823
1718118638-341,https://www.milb.com/stats/?page=4,NateN EatonEaton,LF,OMA,40,144,28,46,15,0,6,30,11,32,9,1,0.319,0.368,0.549,0.917
1718118638-342,https://www.milb.com/stats/?page=4,JoséJ FermínFermín,2B,MEM,32,104,27,36,10,0,6,20,19,5,10,0,0.346,0.461,0.615,1.076
1718118638-343,https://www.milb.com/stats/?page=4,MikeM FordFord,DH,LOU,24,91,15,27,4,0,6,15,12,20,2,0,0.297,0.381,0.538,0.919
1718118638-344,https://www.milb.com/stats/?page=4,BenB GamelGamel,RF,SYR,37,127,27,39,10,1,6,21,26,37,0,0,0.307,0.419,0.543,0.962
1718118638-345,https://www.milb.com/stats/?page=4,KestonK HiuraHiura,1B,TOL,49,177,27,41,10,1,6,24,21,56,0,0,0.232,0.312,0.401,0.713
1718118638-346,https://www.milb.com/stats/?page=4,LeoL JimenezJimenez,SS,BUF,47,143,32,38,5,0,6,18,27,30,2,0,0.266,0.41,0.427,0.837
1718118638-347,https://www.milb.com/stats/?page=4,NathanN LukesLukes,LF,BUF,44,171,25,57,7,0,6,27,19,29,4,2,0.333,0.406,0.48,0.886
1718118638-348,https://www.milb.com/stats/?page=4,Justyn-HenryJ MalloyMalloy,LF,TOL,45,150,23,38,15,0,6,27,39,52,3,3,0.253,0.41,0.473,0.883
1718118638-349,https://www.milb.com/stats/?page=4,DevinD MannMann,2B,OMA,46,151,31,45,9,0,6,27,29,43,2,0,0.298,0.422,0.477,0.899
1718118638-350,https://www.milb.com/stats/?page=4,ParkerP MeadowsMeadows,CF,TOL,26,104,17,28,5,2,6,15,14,25,11,2,0.269,0.361,0.529,0.89
1718118638-351,https://www.milb.com/stats/?page=4,CarlosC NarvaezNarvaez,C,SWB,49,173,30,44,12,0,6,34,35,56,4,0,0.254,0.384,0.428,0.812
1718118638-352,https://www.milb.com/stats/?page=4,AndrewA NavigatoNavigato,SS,TOL,46,156,26,41,11,2,6,23,20,43,10,5,0.263,0.347,0.474,0.821
1718118638-353,https://www.milb.com/stats/?page=4,MalcomM NuñezNuñez,3B,IND,56,194,22,50,8,0,6,29,21,42,0,0,0.258,0.332,0.392,0.724
1718118638-354,https://www.milb.com/stats/?page=4,BrianB O'KeefeO'Keefe,C,OMA,31,98,13,22,5,0,6,22,13,25,0,0,0.224,0.31,0.459,0.769
1718118638-355,https://www.milb.com/stats/?page=4,TristanT PetersPeters,LF,DUR,55,181,30,45,11,2,6,27,28,48,6,3,0.249,0.358,0.431,0.789
1718118638-356,https://www.milb.com/stats/?page=4,RenéR PintoPinto,C,DUR,21,81,12,15,3,0,6,14,6,34,0,0,0.185,0.247,0.444,0.691
1718118638-357,https://www.milb.com/stats/?page=4,LoganL PorterPorter,C,OMA,31,108,22,36,9,1,6,22,22,31,1,0,0.333,0.444,0.602,1.046
1718118641-358,https://www.milb.com/stats/?page=3,BobbyB DalbecDalbec,RF,WOR,26,102,19,25,5,0,8,21,13,40,0,0,0.245,0.33,0.529,0.859
1718118641-359,https://www.milb.com/stats/?page=3,DillonD DinglerDingler,C,TOL,41,146,24,45,9,0,8,28,13,34,4,0,0.308,0.364,0.534,0.898
1718118641-360,https://www.milb.com/stats/?page=3,NathanN HickeyHickey,DH,WOR,51,187,28,40,8,1,8,31,28,72,1,0,0.214,0.318,0.396,0.714
1718118641-361,https://www.milb.com/stats/?page=3,DaShawnD Keirsey Jr.Keirsey,CF,STP,46,182,31,55,11,4,8,43,27,50,16,3,0.302,0.39,0.538,0.928
1718118641-362,https://www.milb.com/stats/?page=3,BlighB MadrisMadris,DH,TOL,50,162,26,42,12,0,8,30,18,47,13,2,0.259,0.333,0.481,0.814
1718118641-363,https://www.milb.com/stats/?page=3,DannyD MendickMendick,3B,CLT,21,68,16,19,6,0,8,20,8,17,2,2,0.279,0.364,0.721,1.085
1718118641-364,https://www.milb.com/stats/?page=3,KameronK MisnerMisner,CF,DUR,58,223,42,54,13,2,8,23,37,84,18,1,0.242,0.352,0.426,0.778
1718118641-365,https://www.milb.com/stats/?page=3,EdwinE RiosRios,1B,LOU,32,114,20,29,7,0,8,21,14,37,1,0,0.254,0.341,0.526,0.867
1718118641-366,https://www.milb.com/stats/?page=3,JoséJ TenaTena,SS,COL,60,239,30,67,12,0,8,37,19,67,7,6,0.28,0.336,0.431,0.767
1718118641-367,https://www.milb.com/stats/?page=3,WestonW WilsonWilson,SS,LHV,51,190,25,40,10,0,8,35,25,60,9,3,0.211,0.295,0.389,0.684
1718118641-368,https://www.milb.com/stats/?page=3,JuanJ YepezYepez,1B,ROC,55,202,25,49,12,0,8,34,32,33,3,1,0.243,0.345,0.421,0.766
1718118641-369,https://www.milb.com/stats/?page=3,EddyE AlvarezAlvarez,2B,WOR,48,151,26,38,9,0,7,32,20,48,6,4,0.252,0.359,0.45,0.809
1718118641-370,https://www.milb.com/stats/?page=3,DavidD BoteBote,3B,IOW,28,108,17,28,8,1,7,15,12,18,0,1,0.259,0.341,0.546,0.887
1718118641-371,https://www.milb.com/stats/?page=3,MikeM BrosseauBrosseau,1B,SYR,39,133,30,40,7,0,7,21,17,34,1,0,0.301,0.397,0.511,0.908
1718118641-372,https://www.milb.com/stats/?page=3,HenryH DavisDavis,C,IND,23,81,20,24,7,0,7,17,10,25,1,0,0.296,0.436,0.642,1.078
1718118641-373,https://www.milb.com/stats/?page=3,RyanR FitzgeraldFitzgerald,SS,OMA,39,129,19,33,8,1,7,22,15,32,2,0,0.256,0.347,0.496,0.843
1718118641-374,https://www.milb.com/stats/?page=3,EricE HaaseHaase,C,NAS,37,132,24,34,6,0,7,25,16,53,1,1,0.258,0.344,0.462,0.806
1718118641-375,https://www.milb.com/stats/?page=3,JacksonJ HollidayHolliday,2B,NOR,48,184,53,51,16,0,7,28,49,51,5,1,0.277,0.43,0.478,0.908
1718118641-376,https://www.milb.com/stats/?page=3,JoseJ IglesiasIglesias,2B,SYR,42,165,26,45,7,0,7,29,9,29,1,0,0.273,0.309,0.442,0.751
1718118641-377,https://www.milb.com/stats/?page=3,AlexA JacksonJackson,C,DUR,22,85,16,24,5,1,7,18,7,24,0,0,0.282,0.344,0.612,0.956
1718118641-378,https://www.milb.com/stats/?page=3,MattM KoperniakKoperniak,LF,MEM,53,198,22,62,13,0,7,28,12,33,2,3,0.313,0.351,0.485,0.836
1718118641-379,https://www.milb.com/stats/?page=3,ColsonC MontgomeryMontgomery,SS,CLT,55,209,26,47,8,1,7,28,31,70,4,2,0.225,0.335,0.373,0.708
1718118641-380,https://www.milb.com/stats/?page=3,BJB Murray Jr.Murray,3B,IOW,55,186,30,37,6,0,7,24,35,60,4,0,0.199,0.324,0.344,0.668
1718118641-381,https://www.milb.com/stats/?page=3,DamianoD PalmegianiPalmegiani,1B,BUF,40,145,23,33,6,0,7,23,21,47,1,0,0.228,0.325,0.414,0.739
1718118641-382,https://www.milb.com/stats/?page=3,NickN PrattoPratto,1B,OMA,53,205,34,48,8,1,7,30,27,67,9,1,0.234,0.321,0.385,0.706
1718118645-383,https://www.milb.com/stats/?page=2,JonahJ BrideBride,3B,JAX,54,188,28,53,12,1,10,32,45,39,1,0,0.282,0.427,0.516,0.943
1718118645-384,https://www.milb.com/stats/?page=2,BrennenB DavisDavis,DH,IOW,35,101,25,24,3,0,10,26,19,28,1,1,0.238,0.402,0.564,0.966
1718118645-385,https://www.milb.com/stats/?page=2,CamC DevanneyDevanney,SS,OMA,54,184,30,43,9,1,10,35,24,62,3,3,0.234,0.332,0.457,0.789
1718118645-386,https://www.milb.com/stats/?page=2,MichaelM HelmanHelman,SS,STP,46,174,28,48,11,0,10,31,19,52,8,1,0.276,0.367,0.511,0.878
1718118645-387,https://www.milb.com/stats/?page=2,JordanJ LuplowLuplow,RF,LHV,54,194,39,51,11,0,10,31,24,48,9,2,0.263,0.345,0.474,0.819
1718118645-388,https://www.milb.com/stats/?page=2,VictorV Mesa Jr.Mesa,CF,JAX,53,216,40,59,12,0,10,37,23,48,4,1,0.273,0.343,0.468,0.811
1718118645-389,https://www.milb.com/stats/?page=2,EversonE PereiraPereira,CF,SWB,40,162,33,43,8,1,10,27,16,59,5,2,0.265,0.346,0.512,0.858
1718118645-390,https://www.milb.com/stats/?page=2,DanielD SchneemannSchneemann,SS,COL,53,180,39,53,15,1,10,39,41,52,4,3,0.294,0.428,0.556,0.984
1718118645-391,https://www.milb.com/stats/?page=2,YuniorY SeverinoSeverino,1B,STP,53,195,25,39,3,1,10,30,30,74,1,0,0.2,0.311,0.379,0.69
1718118645-392,https://www.milb.com/stats/?page=2,TylerT BlackBlack,1B,NAS,47,183,31,52,4,4,9,39,25,29,10,2,0.284,0.384,0.497,0.881
1718118645-393,https://www.milb.com/stats/?page=2,ReceR HindsHinds,RF,LOU,57,214,29,46,10,1,9,32,26,97,10,3,0.215,0.303,0.397,0.7
1718118645-394,https://www.milb.com/stats/?page=2,JaceJ JungJung,3B,TOL,56,204,30,57,17,1,9,37,39,60,1,1,0.279,0.391,0.505,0.896
1718118645-395,https://www.milb.com/stats/?page=2,KyleK ManzardoManzardo,1B,COL,29,109,25,33,10,0,9,20,15,22,0,0,0.303,0.375,0.642,1.017
1718118645-396,https://www.milb.com/stats/?page=2,ConnorC NorbyNorby,LF,NOR,51,206,42,59,17,1,9,36,27,73,7,2,0.286,0.374,0.51,0.884
1718118645-397,https://www.milb.com/stats/?page=2,CésarC PrietoPrieto,3B,MEM,54,214,31,64,13,1,9,32,9,25,2,3,0.299,0.339,0.495,0.834
1718118645-398,https://www.milb.com/stats/?page=2,JohnJ RaveRave,LF,OMA,52,185,42,54,11,1,9,26,26,48,8,3,0.292,0.375,0.508,0.883
1718118645-399,https://www.milb.com/stats/?page=2,NickN SogardSogard,SS,WOR,55,210,42,61,10,0,9,33,40,53,5,5,0.29,0.407,0.467,0.874
1718118645-400,https://www.milb.com/stats/?page=2,AndrewA VelazquezVelazquez,2B,GWN,50,183,27,46,8,0,9,26,20,61,10,0,0.251,0.327,0.443,0.77
1718118645-401,https://www.milb.com/stats/?page=2,JamesJ WoodWood,CF,ROC,45,166,39,59,13,0,9,31,35,37,10,1,0.355,0.465,0.596,1.061
1718118645-402,https://www.milb.com/stats/?page=2,CJC AlexanderAlexander,3B,OMA,46,179,36,57,12,2,8,29,14,44,2,1,0.318,0.371,0.542,0.913
1718118645-403,https://www.milb.com/stats/?page=2,AddisonA BargerBarger,3B,BUF,47,170,35,45,14,0,8,33,31,38,1,0,0.265,0.384,0.488,0.872
1718118645-404,https://www.milb.com/stats/?page=2,JuanJ BritoBrito,2B,COL,60,226,40,55,15,0,8,38,41,43,4,1,0.243,0.365,0.416,0.781
1718118645-405,https://www.milb.com/stats/?page=2,AlexA CallCall,CF,ROC,44,163,30,35,8,1,8,32,27,43,8,1,0.215,0.328,0.423,0.751
1718118645-406,https://www.milb.com/stats/?page=2,JuniorJ CamineroCaminero,3B,DUR,34,138,19,36,6,0,8,24,14,35,1,1,0.261,0.333,0.478,0.811
1718118645-407,https://www.milb.com/stats/?page=2,ConnerC CapelCapel,LF,LOU,44,138,22,31,8,0,8,20,28,36,7,2,0.225,0.359,0.457,0.816
1718118649-408,https://www.milb.com/stats/,LukenL BakerBaker,1B,MEM,55,186,28,44,10,0,16,44,33,45,0,0,0.237,0.351,0.548,0.899
1718118649-409,https://www.milb.com/stats/,TravisT BlankenhornBlankenhorn,RF,ROC,59,218,37,54,13,1,15,45,26,66,2,3,0.248,0.341,0.523,0.864
1718118649-410,https://www.milb.com/stats/,OrelvisO MartinezMartinez,2B,BUF,57,213,42,53,12,0,15,43,22,59,0,0,0.249,0.336,0.516,0.852
1718118649-411,https://www.milb.com/stats/,TrayceT ThompsonThompson,CF,SYR,55,194,34,47,12,0,15,41,24,54,5,1,0.242,0.324,0.536,0.86
1718118649-412,https://www.milb.com/stats/,HestonH KjerstadKjerstad,RF,NOR,45,171,42,53,11,1,14,50,27,51,2,0,0.31,0.401,0.632,1.033
1718118649-413,https://www.milb.com/stats/,JhonkensyJ NoelNoel,1B,COL,55,214,36,60,13,2,14,48,18,52,0,0,0.28,0.353,0.556,0.909
1718118649-414,https://www.milb.com/stats/,RubenR CardenasCardenas,RF,LHV,51,191,34,56,12,1,13,34,15,43,6,4,0.293,0.364,0.571,0.935
1718118649-415,https://www.milb.com/stats/,GriffinG ConineConine,RF,JAX,55,184,32,50,11,0,13,38,31,60,0,0,0.272,0.378,0.543,0.921
1718118649-416,https://www.milb.com/stats/,ScottS KingeryKingery,SS,LHV,53,184,33,46,8,1,13,31,16,66,8,0,0.25,0.308,0.516,0.824
1718118649-417,https://www.milb.com/stats/,CobyC MayoMayo,3B,NOR,42,172,31,50,11,2,13,37,17,53,3,2,0.291,0.359,0.605,0.964
1718118649-418,https://www.milb.com/stats/,AlexanderA CanarioCanario,CF,IOW,37,149,31,43,12,0,12,35,18,44,1,2,0.289,0.373,0.611,0.984
1718118649-419,https://www.milb.com/stats/,DavidD DahlDahl,DH,LHV,43,147,24,50,7,2,12,26,19,35,2,3,0.34,0.416,0.66,1.076
1718118649-420,https://www.milb.com/stats/,TristanT GrayGray,SS,JAX,45,171,24,37,8,1,12,31,17,63,0,1,0.216,0.292,0.485,0.777
1718118649-421,https://www.milb.com/stats/,NikoN KavadasKavadas,1B,WOR,52,159,37,41,11,0,12,37,39,66,0,0,0.258,0.423,0.553,0.976
1718118649-422,https://www.milb.com/stats/,MattM MervisMervis,1B,IOW,43,163,20,39,9,0,12,33,22,50,1,2,0.239,0.34,0.515,0.855
1718118649-423,https://www.milb.com/stats/,LukeL RitterRitter,1B,SYR,56,199,35,52,13,0,12,43,29,71,2,1,0.261,0.369,0.508,0.877
1718118649-424,https://www.milb.com/stats/,PeytonP BurdickBurdick,CF,LOU,49,170,31,34,6,0,11,24,29,87,3,0,0.2,0.327,0.429,0.756
1718118649-425,https://www.milb.com/stats/,MattM GorskiGorski,CF,IND,49,169,30,44,9,5,11,41,12,58,4,3,0.26,0.303,0.568,0.871
1718118649-426,https://www.milb.com/stats/,BrewerB HicklenHicklen,RF,NAS,47,162,36,46,11,2,11,36,28,52,19,3,0.284,0.403,0.58,0.983
1718118649-427,https://www.milb.com/stats/,DanielD JohnsonJohnson,CF,NOR,47,173,29,52,8,1,11,35,17,42,5,4,0.301,0.371,0.549,0.92
1718118649-428,https://www.milb.com/stats/,JohnathanJ RodriguezRodriguez,RF,COL,49,185,38,57,10,0,11,44,31,51,4,0,0.308,0.406,0.541,0.947
1718118649-429,https://www.milb.com/stats/,JoseJ RojasRojas,DH,SWB,44,148,29,37,12,0,11,39,31,40,2,1,0.25,0.38,0.554,0.934
1718118649-430,https://www.milb.com/stats/,KyleK StowersStowers,CF,NOR,36,146,26,35,11,0,11,32,13,44,0,0,0.24,0.315,0.541,0.856
1718118649-431,https://www.milb.com/stats/,MattM WallnerWallner,RF,STP,46,173,24,36,8,1,11,32,22,68,2,0,0.208,0.3,0.457,0.757
1718118649-432,https://www.milb.com/stats/,RylanR BannonBannon,3B,SYR,55,185,38,47,10,1,10,38,46,49,5,2,0.254,0.404,0.481,0.885
