web-scraper-order,web-scraper-start-url,Team,G-val,AB-val,R-val,H-val,2B-val,3B-val,HR-val,RBI,BB-val,SO-val,SB-val,CS-val,AVG,OBP,SLG,OPS
1718120587-368,https://www.milb.com/stats/?page=3,ROC,55,202,25,49,12,0,8,34,32,33,3,1,0.243,0.345,0.421,0.766
1718120587-369,https://www.milb.com/stats/?page=3,WOR,48,151,26,38,9,0,7,32,20,48,6,4,0.252,0.359,0.45,0.809
1718120587-370,https://www.milb.com/stats/?page=3,IOW,28,108,17,28,8,1,7,15,12,18,0,1,0.259,0.341,0.546,0.887
1718120587-371,https://www.milb.com/stats/?page=3,SYR,39,133,30,40,7,0,7,21,17,34,1,0,0.301,0.397,0.511,0.908
1718120587-372,https://www.milb.com/stats/?page=3,IND,23,81,20,24,7,0,7,17,10,25,1,0,0.296,0.436,0.642,1.078
1718120587-373,https://www.milb.com/stats/?page=3,OMA,39,129,19,33,8,1,7,22,15,32,2,0,0.256,0.347,0.496,0.843
1718120587-374,https://www.milb.com/stats/?page=3,NAS,37,132,24,34,6,0,7,25,16,53,1,1,0.258,0.344,0.462,0.806
1718120587-375,https://www.milb.com/stats/?page=3,NOR,48,184,53,51,16,0,7,28,49,51,5,1,0.277,0.43,0.478,0.908
1718120587-376,https://www.milb.com/stats/?page=3,SYR,42,165,26,45,7,0,7,29,9,29,1,0,0.273,0.309,0.442,0.751
1718120587-377,https://www.milb.com/stats/?page=3,DUR,22,85,16,24,5,1,7,18,7,24,0,0,0.282,0.344,0.612,0.956
1718120587-378,https://www.milb.com/stats/?page=3,MEM,53,198,22,62,13,0,7,28,12,33,2,3,0.313,0.351,0.485,0.836
1718120587-379,https://www.milb.com/stats/?page=3,CLT,55,209,26,47,8,1,7,28,31,70,4,2,0.225,0.335,0.373,0.708
1718120587-380,https://www.milb.com/stats/?page=3,IOW,55,186,30,37,6,0,7,24,35,60,4,0,0.199,0.324,0.344,0.668
1718120587-381,https://www.milb.com/stats/?page=3,BUF,40,145,23,33,6,0,7,23,21,47,1,0,0.228,0.325,0.414,0.739
1718120587-382,https://www.milb.com/stats/?page=3,OMA,53,205,34,48,8,1,7,30,27,67,9,1,0.234,0.321,0.385,0.706
1718120592-383,https://www.milb.com/stats/?page=2,JAX,54,188,28,53,12,1,10,32,45,39,1,0,0.282,0.427,0.516,0.943
1718120592-384,https://www.milb.com/stats/?page=2,IOW,35,101,25,24,3,0,10,26,19,28,1,1,0.238,0.402,0.564,0.966
1718120592-385,https://www.milb.com/stats/?page=2,OMA,54,184,30,43,9,1,10,35,24,62,3,3,0.234,0.332,0.457,0.789
1718120592-386,https://www.milb.com/stats/?page=2,STP,46,174,28,48,11,0,10,31,19,52,8,1,0.276,0.367,0.511,0.878
1718120592-387,https://www.milb.com/stats/?page=2,LHV,54,194,39,51,11,0,10,31,24,48,9,2,0.263,0.345,0.474,0.819
1718120592-388,https://www.milb.com/stats/?page=2,JAX,53,216,40,59,12,0,10,37,23,48,4,1,0.273,0.343,0.468,0.811
1718120592-389,https://www.milb.com/stats/?page=2,SWB,40,162,33,43,8,1,10,27,16,59,5,2,0.265,0.346,0.512,0.858
1718120592-390,https://www.milb.com/stats/?page=2,COL,53,180,39,53,15,1,10,39,41,52,4,3,0.294,0.428,0.556,0.984
1718120592-391,https://www.milb.com/stats/?page=2,STP,53,195,25,39,3,1,10,30,30,74,1,0,0.2,0.311,0.379,0.69
1718120592-392,https://www.milb.com/stats/?page=2,NAS,47,183,31,52,4,4,9,39,25,29,10,2,0.284,0.384,0.497,0.881
1718120592-393,https://www.milb.com/stats/?page=2,LOU,57,214,29,46,10,1,9,32,26,97,10,3,0.215,0.303,0.397,0.7
1718120592-394,https://www.milb.com/stats/?page=2,TOL,56,204,30,57,17,1,9,37,39,60,1,1,0.279,0.391,0.505,0.896
1718120592-395,https://www.milb.com/stats/?page=2,COL,29,109,25,33,10,0,9,20,15,22,0,0,0.303,0.375,0.642,1.017
1718120592-396,https://www.milb.com/stats/?page=2,NOR,51,206,42,59,17,1,9,36,27,73,7,2,0.286,0.374,0.51,0.884
1718120592-397,https://www.milb.com/stats/?page=2,MEM,54,214,31,64,13,1,9,32,9,25,2,3,0.299,0.339,0.495,0.834
1718120592-398,https://www.milb.com/stats/?page=2,OMA,52,185,42,54,11,1,9,26,26,48,8,3,0.292,0.375,0.508,0.883
1718120592-399,https://www.milb.com/stats/?page=2,WOR,55,210,42,61,10,0,9,33,40,53,5,5,0.29,0.407,0.467,0.874
1718120592-400,https://www.milb.com/stats/?page=2,GWN,50,183,27,46,8,0,9,26,20,61,10,0,0.251,0.327,0.443,0.77
1718120592-401,https://www.milb.com/stats/?page=2,ROC,45,166,39,59,13,0,9,31,35,37,10,1,0.355,0.465,0.596,1.061
1718120592-402,https://www.milb.com/stats/?page=2,OMA,46,179,36,57,12,2,8,29,14,44,2,1,0.318,0.371,0.542,0.913
1718120592-403,https://www.milb.com/stats/?page=2,BUF,47,170,35,45,14,0,8,33,31,38,1,0,0.265,0.384,0.488,0.872
1718120592-404,https://www.milb.com/stats/?page=2,COL,60,226,40,55,15,0,8,38,41,43,4,1,0.243,0.365,0.416,0.781
1718120592-405,https://www.milb.com/stats/?page=2,ROC,44,163,30,35,8,1,8,32,27,43,8,1,0.215,0.328,0.423,0.751
1718120592-406,https://www.milb.com/stats/?page=2,DUR,34,138,19,36,6,0,8,24,14,35,1,1,0.261,0.333,0.478,0.811
1718120592-407,https://www.milb.com/stats/?page=2,LOU,44,138,22,31,8,0,8,20,28,36,7,2,0.225,0.359,0.457,0.816
1718120613-408,https://www.milb.com/stats/,MEM,55,186,28,44,10,0,16,44,33,45,0,0,0.237,0.351,0.548,0.899
1718120613-409,https://www.milb.com/stats/,ROC,59,218,37,54,13,1,15,45,26,66,2,3,0.248,0.341,0.523,0.864
1718120613-410,https://www.milb.com/stats/,BUF,57,213,42,53,12,0,15,43,22,59,0,0,0.249,0.336,0.516,0.852
1718120613-411,https://www.milb.com/stats/,SYR,55,194,34,47,12,0,15,41,24,54,5,1,0.242,0.324,0.536,0.86
1718120613-412,https://www.milb.com/stats/,NOR,45,171,42,53,11,1,14,50,27,51,2,0,0.31,0.401,0.632,1.033
1718120613-413,https://www.milb.com/stats/,COL,55,214,36,60,13,2,14,48,18,52,0,0,0.28,0.353,0.556,0.909
1718120613-414,https://www.milb.com/stats/,LHV,51,191,34,56,12,1,13,34,15,43,6,4,0.293,0.364,0.571,0.935
1718120613-415,https://www.milb.com/stats/,JAX,55,184,32,50,11,0,13,38,31,60,0,0,0.272,0.378,0.543,0.921
1718120613-416,https://www.milb.com/stats/,LHV,53,184,33,46,8,1,13,31,16,66,8,0,0.25,0.308,0.516,0.824
1718120613-417,https://www.milb.com/stats/,NOR,42,172,31,50,11,2,13,37,17,53,3,2,0.291,0.359,0.605,0.964
1718120613-418,https://www.milb.com/stats/,IOW,37,149,31,43,12,0,12,35,18,44,1,2,0.289,0.373,0.611,0.984
1718120613-419,https://www.milb.com/stats/,LHV,43,147,24,50,7,2,12,26,19,35,2,3,0.34,0.416,0.66,1.076
1718120613-420,https://www.milb.com/stats/,JAX,45,171,24,37,8,1,12,31,17,63,0,1,0.216,0.292,0.485,0.777
1718120613-421,https://www.milb.com/stats/,WOR,52,159,37,41,11,0,12,37,39,66,0,0,0.258,0.423,0.553,0.976
1718120613-422,https://www.milb.com/stats/,IOW,43,163,20,39,9,0,12,33,22,50,1,2,0.239,0.34,0.515,0.855
