"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","description","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
665741,"d55bce33-f8fa-4020-aa6c-f087e13f0895","/api/v1.1/game/665741/feed/live","R","2022","2022-06-12T19:05:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-665741-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,10,29,31,".483",431,"Gwinnett Stripers","/api/v1/teams/431",7,TRUE,FALSE,10,32,28,".533",564,"Jacksonville Jumbo Shrimp","/api/v1/teams/564",2852,"121 Financial Ballpark","/api/v1/venues/2852","/api/v1/game/665741/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665441,"d43d679c-310d-4f02-bd01-1ce699cbede2","/api/v1.1/game/665441/feed/live","R","2022","2022-06-12T19:05:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-665441-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,10,30,30,".500",568,"Norfolk Tides","/api/v1/teams/568",2,FALSE,FALSE,10,36,23,".610",556,"Nashville Sounds","/api/v1/teams/556",4715,"First Horizon Park","/api/v1/venues/4715","/api/v1/game/665441/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664784,"331dabdb-e629-4808-bfdd-b6d9edab007a","/api/v1.1/game/664784/feed/live","R","2022","2022-06-12T19:07:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-664784-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,10,35,25,".583",534,"Rochester Red Wings","/api/v1/teams/534",5,TRUE,FALSE,10,30,29,".508",1960,"St. Paul Saints","/api/v1/teams/1960",5472,"CHS Field","/api/v1/venues/5472","/api/v1/game/664784/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664920,"1f579391-fe51-4c95-bda5-1bcf45ad410c","/api/v1.1/game/664920/feed/live","R","2022","2022-06-12T20:05:00Z","2022-06-12",FALSE,1,TRUE,"N","E","N","44-664920-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,10,33,27,".550",2310,"Reno Aces","/api/v1/teams/2310",10,TRUE,FALSE,10,24,36,".400",105,"Sacramento River Cats","/api/v1/teams/105",2529,"Sutter Health Park","/api/v1/venues/2529","/api/v1/game/664920/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664565,"e06d816a-7c36-4f9d-8890-3fca10b3804c","/api/v1.1/game/664565/feed/live","R","2022","2022-06-12T20:35:00Z","2022-06-12",FALSE,1,TRUE,"N","E","N","44-664565-2022-06-12","2022","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,12,33,27,".550",102,"Round Rock Express","/api/v1/teams/102",6,TRUE,FALSE,11,23,36,".390",529,"Tacoma Rainiers","/api/v1/teams/529",2745,"Cheney Stadium","/api/v1/venues/2745","/api/v1/game/664565/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665203,"493015b4-dfa6-42c3-9f54-81d3cde460ed","/api/v1.1/game/665203/feed/live","R","2022","2022-06-12T22:05:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-665203-2022-06-12","2022","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,10,34,26,".567",1410,"Lehigh Valley IronPigs","/api/v1/teams/1410",10,TRUE,FALSE,10,29,29,".500",541,"Omaha Storm Chasers","/api/v1/teams/541",4271,"Werner Park","/api/v1/venues/4271","/api/v1/game/665203/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664709,"8e36b119-f882-4270-8b59-336203bbbdcd","/api/v1.1/game/664709/feed/live","R","2022","2022-06-12T23:05:00Z","2022-06-12",FALSE,1,TRUE,"N","E","N","44-664709-2022-06-12","2022","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,11,34,25,".576",400,"Las Vegas Aviators","/api/v1/teams/400",7,TRUE,FALSE,12,24,36,".400",5434,"Sugar Land Space Cowboys","/api/v1/teams/5434",5421,"Constellation Field","/api/v1/venues/5421","/api/v1/game/664709/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666211,"e67e9e66-0bcf-4375-bf35-74b0524d25c6","/api/v1.1/game/666211/feed/live","R","2022","2022-06-13T00:05:00Z","2022-06-12",FALSE,1,TRUE,"N","E","N","44-666211-2022-06-12","2022","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",11,TRUE,FALSE,10,26,34,".433",342,"Albuquerque Isotopes","/api/v1/teams/342",8,FALSE,FALSE,11,34,26,".567",4904,"El Paso Chihuahuas","/api/v1/teams/4904",4669,"Southwest University Park","/api/v1/venues/4669","/api/v1/game/666211/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666121,"1acbc216-8a90-4c0c-8e35-95d9db139104","/api/v1.1/game/666121/feed/live","R","2022","2022-06-14T22:35:00Z","2022-06-14",FALSE,1,TRUE,"N","Y","N","44-666121-2022-06-14","2022","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,11,22,38,".367",416,"Louisville Bats","/api/v1/teams/416",4,TRUE,FALSE,11,32,29,".525",234,"Durham Bulls","/api/v1/teams/234",2541,"Durham Bulls Athletic Park","/api/v1/venues/2541","/api/v1/game/666121/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664888,"eccdcec0-409f-4c91-a2c8-29697e105aff","/api/v1.1/game/664888/feed/live","R","2022","2022-06-14T22:35:00Z","2022-06-14",FALSE,1,TRUE,"N","Y","N","44-664888-2022-06-14","2022","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,11,35,26,".574",534,"Rochester Red Wings","/api/v1/teams/534",7,TRUE,FALSE,11,24,37,".393",531,"Scranton/Wilkes-Barre RailRiders","/api/v1/teams/531",2797,"PNC Field","/api/v1/venues/2797","/api/v1/game/664888/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665350,"a1004a99-d8c9-4cfb-85c3-9bed94c0ea25","/api/v1.1/game/665350/feed/live","R","2022","2022-06-14T22:35:00Z","2022-06-14",FALSE,1,TRUE,"N","Y","N","44-665350-2022-06-14","2022","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",18,TRUE,FALSE,11,22,38,".367",552,"Syracuse Mets","/api/v1/teams/552",6,FALSE,FALSE,11,30,31,".492",568,"Norfolk Tides","/api/v1/teams/568",2781,"Harbor Park","/api/v1/venues/2781","/api/v1/game/665350/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664429,"36d3b0e6-3867-41df-b8f5-697e73e7da74","/api/v1.1/game/664429/feed/live","R","2022","2022-06-14T22:45:00Z","2022-06-14",FALSE,1,TRUE,"N","Y","N","44-664429-2022-06-14","2022","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,11,30,29,".508",512,"Toledo Mud Hens","/api/v1/teams/512",4,TRUE,FALSE,11,31,30,".508",533,"Worcester Red Sox","/api/v1/teams/533",5410,"Polar Park","/api/v1/venues/5410","/api/v1/game/664429/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666254,"c4f399e8-b837-4c79-be9c-364dac31a46c","/api/v1.1/game/666254/feed/live","R","2022","2022-06-14T23:04:00Z","2022-06-14",FALSE,1,TRUE,"N","E","N","44-666254-2022-06-14","2022","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,11,33,28,".541",564,"Jacksonville Jumbo Shrimp","/api/v1/teams/564",3,FALSE,FALSE,11,23,38,".377",494,"Charlotte Knights","/api/v1/teams/494",4670,"Truist Field","/api/v1/venues/4670","/api/v1/game/666254/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666039,"db1cfcc6-3fbf-4ff6-9752-2eb636c7f0d7","/api/v1.1/game/666039/feed/live","R","2022","2022-06-14T23:05:00Z","2022-06-14",FALSE,1,TRUE,"N","Y","N","44-666039-2022-06-14","2022","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,11,30,29,".508",484,"Indianapolis Indians","/api/v1/teams/484",8,TRUE,FALSE,11,30,31,".492",431,"Gwinnett Stripers","/api/v1/teams/431",3810,"Coolray Field","/api/v1/venues/3810","/api/v1/game/666039/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665685,"d2710ee3-c52a-41b1-a52c-eb4e285a2111","/api/v1.1/game/665685/feed/live","R","2022","2022-06-14T23:05:00Z","2022-06-14",FALSE,1,TRUE,"N","Y","N","44-665685-2022-06-14","2022","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,11,34,26,".567",422,"Buffalo Bisons","/api/v1/teams/422",2,FALSE,FALSE,11,34,27,".557",1410,"Lehigh Valley IronPigs","/api/v1/teams/1410",3230,"Coca-Cola Park","/api/v1/venues/3230","/api/v1/game/665685/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
