"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
587597,"4a6d447e-0e14-4bc5-9425-4c9effbefb03","/api/v1.1/game/587597/feed/live","R","2019","2019-06-06T01:00:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-587597-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,17,21,32,".396",569,"Tigres de Quintana Roo","/api/v1/teams/569",2,FALSE,FALSE,17,23,28,".451",496,"Leones de Yucatan","/api/v1/teams/496",2959,"Parque Kukulkan","/api/v1/venues/2959","/api/v1/game/587597/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580423,"22e9c7ff-8154-4ff8-a867-9dd408ba23bf","/api/v1.1/game/580423/feed/live","R","2019","2019-06-06T01:05:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-580423-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,15,24,36,".400",235,"Memphis Redbirds","/api/v1/teams/235",10,TRUE,FALSE,15,30,30,".500",529,"Tacoma Rainiers","/api/v1/teams/529",2745,"Cheney Stadium","/api/v1/venues/2745","/api/v1/game/580423/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580284,"bad1f9f9-ffd6-492a-bd67-a1589d915ca3","/api/v1.1/game/580284/feed/live","R","2019","2019-06-06T01:05:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-580284-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,14,38,22,".633",510,"San Antonio Missions","/api/v1/teams/510",0,FALSE,FALSE,15,26,33,".441",561,"Salt Lake Bees","/api/v1/teams/561",2772,"Smith's Ballpark","/api/v1/venues/2772","/api/v1/game/580284/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579656,"8ffacc6c-8855-466b-a721-3d38ccd928ff","/api/v1.1/game/579656/feed/live","R","2019","2019-06-06T02:05:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-579656-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",11,TRUE,FALSE,15,35,24,".593",102,"Round Rock Express","/api/v1/teams/102",5,FALSE,FALSE,15,33,27,".550",400,"Las Vegas Aviators","/api/v1/teams/400",5355,"Las Vegas Ballpark","/api/v1/venues/5355","/api/v1/game/579656/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580078,"58576e1d-1439-47a3-a325-393426909d34","/api/v1.1/game/580078/feed/live","R","2019","2019-06-06T02:05:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-580078-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,15,22,38,".367",556,"Nashville Sounds","/api/v1/teams/556",3,TRUE,FALSE,15,25,35,".417",2310,"Reno Aces","/api/v1/teams/2310",3789,"Greater Nevada Field","/api/v1/venues/3789","/api/v1/game/580078/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588138,"03830eee-2ea5-463b-b3b3-f9999dab9955","/api/v1.1/game/588138/feed/live","R","2019","2019-06-06T02:35:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-588138-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,17,35,18,".660",562,"Sultanes de Monterrey","/api/v1/teams/562",5,FALSE,FALSE,17,36,17,".679",5010,"Toros de Tijuana","/api/v1/teams/5010",2957,"Estadio Chevron","/api/v1/venues/2957","/api/v1/game/588138/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580285,"c24fb0eb-4885-450f-82fe-d57b265fa9d6","/api/v1.1/game/580285/feed/live","R","2019","2019-06-06T18:05:00Z","2019-06-06",FALSE,1,TRUE,"N","Y","N","44-580285-2019-06-06","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,FALSE,FALSE,14,38,23,".623",510,"San Antonio Missions","/api/v1/teams/510",13,TRUE,FALSE,15,27,33,".450",561,"Salt Lake Bees","/api/v1/teams/561",2772,"Smith's Ballpark","/api/v1/venues/2772","/api/v1/game/580285/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575961,"94d22828-3328-4c0e-bac9-e4fb2ab48046","/api/v1.1/game/575961/feed/live","R","2019","2019-06-06T22:35:00Z","2019-06-06",FALSE,1,TRUE,"N","Y","N","44-575961-2019-06-06","2019","night",9,FALSE,120,4,4,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,18,23,33,".411",534,"Rochester Red Wings","/api/v1/teams/534",0,FALSE,FALSE,18,29,30,".492",552,"Syracuse Mets","/api/v1/teams/552",2823,"NBT Bank Stadium","/api/v1/venues/2823","/api/v1/game/575961/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575604,"3498f4ea-eb39-424a-ab7d-5ae2fbaee494","/api/v1.1/game/575604/feed/live","R","2019","2019-06-06T23:04:00Z","2019-06-06",FALSE,1,TRUE,"N","Y","N","44-575604-2019-06-06","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,19,24,36,".400",416,"Louisville Bats","/api/v1/teams/416",5,TRUE,FALSE,19,34,25,".576",494,"Charlotte Knights","/api/v1/teams/494",4670,"BB&T Ballpark","/api/v1/venues/4670","/api/v1/game/575604/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575394,"c0a10eb2-1237-447d-a4ff-1045925d7d07","/api/v1.1/game/575394/feed/live","R","2019","2019-06-06T23:05:00Z","2019-06-06",FALSE,1,TRUE,"N","Y","N","44-575394-2019-06-06","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,19,34,26,".567",234,"Durham Bulls","/api/v1/teams/234",6,TRUE,FALSE,19,35,25,".583",431,"Gwinnett Stripers","/api/v1/teams/431",3810,"Coolray Field","/api/v1/venues/3810","/api/v1/game/575394/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
