"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduledFrom","rescheduledFromDate","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","status.reason","rescheduleDate","rescheduleGameDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
723400,"90d33fdc-0d29-4f3b-a2fd-0c3aaed196ff","/api/v1.1/game/723400/feed/live","R","2023","2023-04-09T17:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-723400-2023-04-09","2023","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",8,TRUE,FALSE,2,5,4,".556",484,"Indianapolis Indians","/api/v1/teams/484",1,FALSE,FALSE,2,2,7,".222",416,"Louisville Bats","/api/v1/teams/416",2724,"Louisville Slugger Field","/api/v1/venues/2724","/api/v1/game/723400/content",NA,NA,NA,NA,NA,NA,NA
723828,"9d8ebdd4-7253-4233-8a56-f77a761f3143","/api/v1.1/game/723828/feed/live","R","2023","2023-04-09T17:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-723828-2023-04-09","2023","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,2,5,4,".556",494,"Charlotte Knights","/api/v1/teams/494",1,FALSE,FALSE,2,3,6,".333",445,"Columbus Clippers","/api/v1/teams/445",3970,"Huntington Park","/api/v1/venues/3970","/api/v1/game/723828/content",NA,NA,NA,NA,NA,NA,NA
722800,"5051fef0-57a8-46b1-b02e-8d57bb4489a0","/api/v1.1/game/722800/feed/live","R","2023","2023-04-09T17:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-722800-2023-04-09","2023","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,2,1,7,".125",534,"Rochester Red Wings","/api/v1/teams/534",9,TRUE,FALSE,2,6,3,".667",552,"Syracuse Mets","/api/v1/teams/552",2823,"NBT Bank Stadium","/api/v1/venues/2823","/api/v1/game/722800/content",NA,NA,NA,NA,NA,NA,NA
723176,"f16f641b-b0c0-4977-bd68-23dcc513e6a3","/api/v1.1/game/723176/feed/live","R","2023","2023-04-09T17:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-723176-2023-04-09","2023","day",9,FALSE,120,5,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,2,2,6,".250",431,"Gwinnett Stripers","/api/v1/teams/431",4,TRUE,FALSE,2,7,1,".875",568,"Norfolk Tides","/api/v1/teams/568",2781,"Harbor Park","/api/v1/venues/2781","/api/v1/game/723176/content",NA,NA,NA,NA,NA,NA,NA
723324,"bc20dcec-95af-407e-8876-772afe87320d","/api/v1.1/game/723324/feed/live","R","2023","2023-04-09T18:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-723324-2023-04-09","2023","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,2,5,4,".556",556,"Nashville Sounds","/api/v1/teams/556",6,TRUE,FALSE,2,4,5,".444",235,"Memphis Redbirds","/api/v1/teams/235",2542,"AutoZone Park","/api/v1/venues/2542","/api/v1/game/723324/content",NA,NA,NA,NA,NA,NA,NA
721880,"9d7cf698-6ba1-4070-810e-2b29cc5d1359","/api/v1.1/game/721880/feed/live","R","2023","2023-04-09T19:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-721880-2023-04-09","2023","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,2,7,2,".778",238,"Oklahoma City Dodgers","/api/v1/teams/238",5,FALSE,FALSE,2,2,7,".222",400,"Las Vegas Aviators","/api/v1/teams/400",5355,"Las Vegas Ballpark","/api/v1/venues/5355","/api/v1/game/721880/content",NA,NA,NA,NA,NA,NA,NA
723100,"4d8581a8-331a-484c-90fc-2ef058e93db7","/api/v1.1/game/723100/feed/live","R","2023","2023-04-09T19:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-723100-2023-04-09","2023","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",8,TRUE,FALSE,2,5,4,".556",512,"Toledo Mud Hens","/api/v1/teams/512",2,FALSE,FALSE,2,5,4,".556",541,"Omaha Storm Chasers","/api/v1/teams/541",4271,"Werner Park","/api/v1/venues/4271","/api/v1/game/723100/content",NA,NA,NA,NA,NA,NA,NA
725393,"5fc0ff3f-0ef8-43eb-8705-194870fd37f1","/api/v1.1/game/725393/feed/live","R","2023","2023-04-09T19:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-725393-2023-04-09","2023","day",9,FALSE,120,5,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,2,3,5,".375",234,"Durham Bulls","/api/v1/teams/234",8,TRUE,FALSE,2,4,4,".500",564,"Jacksonville Jumbo Shrimp","/api/v1/teams/564",2852,"121 Financial Ballpark","/api/v1/venues/2852","/api/v1/game/725393/content",NA,NA,NA,NA,NA,NA,NA
721427,"eba54dcf-b757-4df9-b93b-40bd2dc279a5","/api/v1.1/game/721427/feed/live","R","2023","2023-04-09T19:05:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-721427-2023-04-09","2023","day",9,FALSE,120,5,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,2,5,3,".625",102,"Round Rock Express","/api/v1/teams/102",0,FALSE,FALSE,2,3,5,".375",5434,"Sugar Land Space Cowboys","/api/v1/teams/5434",5421,"Constellation Field","/api/v1/venues/5421","/api/v1/game/721427/content",NA,NA,NA,NA,NA,NA,NA
722875,"01b28d9f-30b4-47e0-8935-10a22957453b","/api/v1.1/game/722875/feed/live","R","2023","2023-04-09T19:07:00Z","2023-04-09",FALSE,1,TRUE,"N","E","N","44-722875-2023-04-09","2023","day",9,FALSE,120,5,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",11,TRUE,FALSE,2,6,2,".750",451,"Iowa Cubs","/api/v1/teams/451",2,FALSE,FALSE,2,4,4,".500",1960,"St. Paul Saints","/api/v1/teams/1960",5472,"CHS Field","/api/v1/venues/5472","/api/v1/game/722875/content",NA,NA,NA,NA,NA,NA,NA
