"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
644980,"b930a5ee-dfea-4f04-bda0-afc61d3d165a","/api/v1.1/game/644980/feed/live","R","2021","2021-09-22T02:05:00Z","2021-09-21",FALSE,1,TRUE,"N","Y","N","44-644980-2021-09-21","2021","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,20,62,58,".517",400,"Las Vegas Aviators","/api/v1/teams/400",8,TRUE,FALSE,20,52,65,".444",105,"Sacramento River Cats","/api/v1/teams/105",2529,"Sutter Health Park","/api/v1/venues/2529","/api/v1/game/644980/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
659106,"85277e5f-73d8-4a2e-a9c3-f6618fef9794","/api/v1.1/game/659106/feed/live","R","2021","2021-09-22T22:05:00Z","2021-09-22",FALSE,1,TRUE,"N","Y","N","44-659106-2021-09-22","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Completed Early","FR",FALSE,"F",3,TRUE,FALSE,21,53,66,".445",1410,"Lehigh Valley IronPigs","/api/v1/teams/1410",0,FALSE,FALSE,21,71,47,".602",422,"Buffalo Bisons","/api/v1/teams/422",2756,"Sahlen Field","/api/v1/venues/2756","/api/v1/game/659106/content",NA,NA,"Rain",NA,NA,NA,NA,NA,NA
659072,"4bf3aed5-1ecb-414a-8437-0143d4c7764f","/api/v1.1/game/659072/feed/live","R","2021","2021-09-22T22:35:00Z","2021-09-22",FALSE,1,TRUE,"N","Y","N","44-659072-2021-09-22","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,21,47,70,".402",534,"Rochester Red Wings","/api/v1/teams/534",4,TRUE,FALSE,21,67,52,".563",533,"Worcester Red Sox","/api/v1/teams/533",5410,"Polar Park","/api/v1/venues/5410","/api/v1/game/659072/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
659086,"5bc63016-2ef3-4d2c-8901-f1fac5f238d1","/api/v1.1/game/659086/feed/live","R","2021","2021-09-22T22:35:00Z","2021-09-22",FALSE,1,TRUE,"N","Y","N","44-659086-2021-09-22","2021","night",9,FALSE,NA,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,21,47,70,".402",552,"Syracuse Mets","/api/v1/teams/552",5,TRUE,FALSE,21,69,49,".585",531,"Scranton/Wilkes-Barre RailRiders","/api/v1/teams/531",2797,"PNC Field","/api/v1/venues/2797","/api/v1/game/659086/content",NA,NA,NA,NA,NA,"2021-09-24T21:05:00Z","2021-09-24",NA,NA
660754,"1e14c711-8fe7-46c6-83fb-7aab6a1c8118","/api/v1.1/game/660754/feed/live","R","2021","2021-09-22T23:05:00Z","2021-09-22",FALSE,1,TRUE,"N","Y","N","44-660754-2021-09-22","2021","night",9,FALSE,120,5,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Completed Early","FR",FALSE,"F",1,FALSE,FALSE,21,57,65,".467",235,"Memphis Redbirds","/api/v1/teams/235",7,TRUE,FALSE,21,71,51,".582",564,"Jacksonville Jumbo Shrimp","/api/v1/teams/564",2852,"121 Financial Ballpark","/api/v1/venues/2852","/api/v1/game/660754/content",NA,NA,"Rain",NA,NA,NA,NA,NA,NA
659101,"60b19f8e-fa0f-44a2-8d69-4486029ece18","/api/v1.1/game/659101/feed/live","R","2021","2021-09-23T00:05:00Z","2021-09-22",FALSE,1,TRUE,"N","Y","N","44-659101-2021-09-22","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,21,57,63,".475",484,"Indianapolis Indians","/api/v1/teams/484",4,TRUE,FALSE,21,67,54,".554",541,"Omaha Storm Chasers","/api/v1/teams/541",4271,"Werner Park","/api/v1/venues/4271","/api/v1/game/659101/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
658994,"dbcc4e43-5f99-4e73-b751-ccd2ff26caaf","/api/v1.1/game/658994/feed/live","R","2021","2021-09-23T00:05:00Z","2021-09-22",FALSE,1,TRUE,"N","Y","N","44-658994-2021-09-22","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",6,FALSE,FALSE,21,56,63,".471",445,"Columbus Clippers","/api/v1/teams/445",7,TRUE,FALSE,21,64,56,".533",556,"Nashville Sounds","/api/v1/teams/556",4715,"First Horizon Park","/api/v1/venues/4715","/api/v1/game/658994/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
659091,"74c24549-5130-4b53-afc3-fb9b9066038d","/api/v1.1/game/659091/feed/live","R","2021","2021-09-23T00:05:00Z","2021-09-22",FALSE,1,TRUE,"N","Y","N","44-659091-2021-09-22","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,21,51,70,".421",451,"Iowa Cubs","/api/v1/teams/451",1,FALSE,FALSE,21,61,60,".504",1960,"St. Paul Saints","/api/v1/teams/1960",5472,"CHS Field","/api/v1/venues/5472","/api/v1/game/659091/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
658979,"3662d45c-9e16-456e-bfd9-1ebc14c5b023","/api/v1.1/game/658979/feed/live","R","2021","2021-09-22T17:00:00Z","2021-09-23",NA,1,TRUE,"N","Y","N","44-658979-2021-09-22","2021","day",7,FALSE,NA,5,1,"Regular Season","S","N","Normal Game",NA,"Final","D","Postponed","DR",FALSE,"F",NA,NA,FALSE,21,70,51,".579",512,"Toledo Mud Hens","/api/v1/teams/512",NA,NA,FALSE,21,51,69,".425",416,"Louisville Bats","/api/v1/teams/416",2724,"Louisville Slugger Field","/api/v1/venues/2724","/api/v1/game/658979/content","2021-09-23T21:05:00Z","2021-09-23","Rain",NA,NA,NA,NA,NA,NA
659018,"e3588cff-a042-40d6-9a5f-5913b2d8e8ad","/api/v1.1/game/659018/feed/live","R","2021","2021-09-22T22:35:00Z","2021-09-23",NA,1,TRUE,"N","Y","N","44-659018-2021-09-22","2021","night",7,FALSE,NA,5,1,"Regular Season","S","N","Normal Game",NA,"Final","D","Postponed","DR",FALSE,"F",NA,NA,FALSE,21,68,52,".567",431,"Gwinnett Stripers","/api/v1/teams/431",NA,NA,FALSE,21,78,43,".645",234,"Durham Bulls","/api/v1/teams/234",2541,"Durham Bulls Athletic Park","/api/v1/venues/2541","/api/v1/game/659018/content","2021-09-23T21:40:00Z","2021-09-23","Rain",NA,NA,NA,NA,NA,NA
