Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
39,Joey Cantillo*,23,CLB,AAA,CLE,6,4,0.6,4.64,4.74,20,18,1,1,0,0,95,89,50,49,16,55,0,111,4,0,9,425,1.516,8.4,1.5,5.2,10.5,2.02
40,Max Castillo,24,OMA,AAA,KCR,6,7,0.462,4.58,5.12,22,21,1,0,0,0,116,117,66,59,31,28,0,94,3,0,7,490,1.25,9.1,2.4,2.2,7.3,3.36
41,Sam Clay*,30,TOL,AAA,DET,6,3,0.667,5.16,5.68,42,1,6,0,0,1,52.1,52,33,30,8,29,0,53,5,0,4,239,1.548,8.9,1.4,5,9.1,1.83
42,Nic Enright,26,"CLB,JCK",AAA,CLE-MIA,6,2,0.75,5.09,5.48,32,0,6,0,0,1,46,46,28,26,11,18,0,49,1,0,2,198,1.391,9,2.2,3.5,9.6,2.72
43,Chi Chi González,31,JCK,AAA,MIA,6,9,0.4,6.07,6.95,24,23,0,0,0,0,121.2,160,94,82,23,34,0,71,6,2,4,547,1.595,11.8,1.7,2.5,5.3,2.09
44,Drew Hutchison,32,"LHV,BFL",AAA,PHI-TOR,6,6,0.5,5.63,5.95,24,24,0,0,0,0,110.1,104,73,69,13,75,0,93,5,1,5,500,1.622,8.5,1.1,6.1,7.6,1.24
45,Cole Irvin*,29,NFK,AAA,BAL,6,3,0.667,4.38,4.56,9,9,0,0,0,0,49.1,54,25,24,8,9,0,30,4,0,0,212,1.277,9.9,1.5,1.6,5.5,3.33
46,Jeff Lindgren,26,JCK,AAA,MIA,6,6,0.5,4.88,5.09,22,17,2,1,0,0,86.2,73,49,47,15,47,0,59,5,0,1,373,1.385,7.6,1.6,4.9,6.1,1.26
47,Joey Lucchesi*,30,SYR,AAA,NYM,6,5,0.545,4.74,5.07,15,14,0,0,0,0,81.2,77,46,43,12,39,0,75,1,3,4,350,1.42,8.5,1.3,4.3,8.3,1.92
48,Aaron McGarity,28,SWB,AAA,NYY,6,4,0.6,5.17,5.56,51,1,15,0,0,4,69.2,60,43,40,13,27,2,72,10,0,1,301,1.249,7.8,1.7,3.5,9.3,2.67
49,Patrick Murphy,28,STP,AAA,MIN,6,4,0.6,3.69,4.11,42,4,19,0,0,6,85.1,83,39,35,7,50,1,97,8,0,7,387,1.559,8.8,0.7,5.3,10.2,1.94
50,Zach Thompson,29,BFL,AAA,TOR,6,6,0.5,4.61,4.78,24,24,0,0,0,0,105.1,100,56,54,14,48,0,80,7,0,2,460,1.405,8.5,1.2,4.1,6.8,1.67
51,Jeremy Walker,28,LHV,AAA,PHI,6,2,0.75,2.9,3.29,47,2,3,0,0,0,68.1,54,25,22,8,31,1,52,3,1,1,280,1.244,7.1,1.1,4.1,6.8,1.68
52,JB Bukauskas,26,NVL,AAA,MIL,5,2,0.714,2.92,4.62,32,0,12,0,0,6,37,35,19,12,2,10,0,42,1,0,1,157,1.216,8.5,0.5,2.4,10.2,4.2
53,Daniel Castano*,28,JCK,AAA,MIA,5,2,0.714,4.67,5.55,17,9,1,1,0,0,61.2,55,38,32,10,26,0,58,2,1,2,268,1.314,8,1.5,3.8,8.5,2.23
54,Wandisson Charles,26,NFK,AAA,BAL,5,3,0.625,5.7,6,28,0,16,0,0,8,30,20,20,19,2,28,0,40,0,0,4,137,1.6,6,0.6,8.4,12,1.43
55,Chris Clarke,25,IWA,AAA,CHC,5,5,0.5,4.9,5.26,35,11,3,0,0,1,75.1,87,44,41,5,27,0,66,7,0,4,336,1.513,10.4,0.6,3.2,7.9,2.44
56,Randy Dobnak,28,STP,AAA,MIN,5,9,0.357,5.13,5.84,31,26,2,0,0,1,126.1,148,82,72,12,61,0,115,5,0,1,569,1.654,10.5,0.9,4.3,8.2,1.89
