game_pk,gameGuid,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,description,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.score,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link,rescheduleDate,rescheduleGameDate,status.reason,rescheduledFrom,rescheduledFromDate,resumeDate,resumeGameDate,resumedFrom,resumedFromDate,game_date,day_of_week,robot_umpire
659012,920ee31a-8803-4dc6-a560-9798717a48e3,/api/v1.1/game/659012/feed/live,R,2021,2021-09-30T23:05:00Z,2021-09-30,False,1,True,N,Y,N,44-659012-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,7.0,True,False,22.0,74,53,0.583,564,Jacksonville Jumbo Shrimp,/api/v1/teams/564,5.0,False,False,22.0,69,57,0.548,431,Gwinnett Stripers,/api/v1/teams/431,3810,Coolray Field,/api/v1/venues/3810,/api/v1/game/659012/content,,,,,,,,,,2021-09-30,Thursday,True
658997,de882ead-ec8e-4181-a68c-93b7c98887fb,/api/v1.1/game/658997/feed/live,R,2021,2021-09-30T23:05:00Z,2021-09-30,False,1,True,N,Y,N,44-658997-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,10.0,True,False,22.0,71,54,0.568,533,Worcester Red Sox,/api/v1/teams/533,9.0,False,False,22.0,53,72,0.424,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,3230,Coca-Cola Park,/api/v1/venues/3230,/api/v1/game/658997/content,,,,,,,,,,2021-09-30,Thursday,True
658984,68836efc-1df2-444c-aa1a-62ab14e0c911,/api/v1.1/game/658984/feed/live,R,2021,2021-09-30T23:45:00Z,2021-09-30,False,1,True,N,Y,N,44-658984-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,4.0,False,False,22.0,47,80,0.37,494,Charlotte Knights,/api/v1/teams/494,6.0,True,False,22.0,60,67,0.472,235,Memphis Redbirds,/api/v1/teams/235,2542,AutoZone Park,/api/v1/venues/2542,/api/v1/game/658984/content,,,,,,,,,,2021-09-30,Thursday,True
659052,25c05f9d-6b60-4b54-aa3d-3df7799b7cbe,/api/v1.1/game/659052/feed/live,R,2021,2021-10-01T00:05:00Z,2021-09-30,False,1,True,N,Y,N,44-659052-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,2.0,False,False,22.0,49,78,0.386,4904,El Paso Chihuahuas,/api/v1/teams/4904,5.0,True,False,22.0,66,60,0.524,238,Oklahoma City Dodgers,/api/v1/teams/238,2843,Chickasaw Bricktown Ballpark,/api/v1/venues/2843,/api/v1/game/659052/content,,,,,,,,,,2021-09-30,Thursday,True
659032,9c04eb24-02f6-464a-8c80-505db9694fa0,/api/v1.1/game/659032/feed/live,R,2021,2021-10-01T00:05:00Z,2021-09-30,False,1,True,N,Y,N,44-659032-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,3.0,True,False,22.0,66,60,0.524,102,Round Rock Express,/api/v1/teams/102,1.0,False,False,22.0,73,54,0.575,5434,Sugar Land Skeeters,/api/v1/teams/5434,5421,Constellation Field,/api/v1/venues/5421,/api/v1/game/659032/content,,,,,,,,,,2021-09-30,Thursday,True
660745,8789096b-fdec-4c96-93d5-da3217b8f7cc,/api/v1.1/game/660745/feed/live,R,2021,2021-10-01T02:05:00Z,2021-09-30,False,1,True,N,Y,N,44-660745-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,2.0,False,False,22.0,57,70,0.449,342,Albuquerque Isotopes,/api/v1/teams/342,3.0,True,False,22.0,54,70,0.435,105,Sacramento River Cats,/api/v1/teams/105,2529,Sutter Health Park,/api/v1/venues/2529,/api/v1/game/660745/content,,,,,,,,,,2021-09-30,Thursday,True
659027,7e10cf79-a5f5-4043-b7ef-bf73a8165138,/api/v1.1/game/659027/feed/live,R,2021,2021-10-01T02:05:00Z,2021-09-30,False,1,True,N,Y,N,44-659027-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,3.0,True,False,22.0,54,72,0.429,561,Salt Lake Bees,/api/v1/teams/561,2.0,False,False,22.0,76,51,0.598,529,Tacoma Rainiers,/api/v1/teams/529,2745,Cheney Stadium,/api/v1/venues/2745,/api/v1/game/659027/content,,,,,,,,,,2021-09-30,Thursday,True
659002,f9b4cdf5-f038-4aee-b177-f2f899560995,/api/v1.1/game/659002/feed/live,R,2021,2021-09-30T23:38:00Z,2021-09-30,,1,True,N,Y,N,44-659002-2021-09-30,2021,night,9,False,,5.0,2.0,Regular Season,S,N,Normal Game,,Final,C,Cancelled,CR,False,F,,,False,22.0,70,56,0.556,541,Omaha Storm Chasers,/api/v1/teams/541,,,False,22.0,51,75,0.405,451,Iowa Cubs,/api/v1/teams/451,2844,Principal Park,/api/v1/venues/2844,/api/v1/game/659002/content,,,Rain,,,,,,,2021-09-30,Thursday,True
659047,7655913c-b818-4b54-8b14-dbe7e0c1b142,/api/v1.1/game/659047/feed/live,R,2021,2021-10-01T01:05:00Z,2021-09-30,,1,True,N,Y,N,44-659047-2021-09-30,2021,night,9,False,,5.0,2.0,Regular Season,S,N,Normal Game,,Final,C,Cancelled,CE,False,F,,,False,22.0,65,61,0.516,400,Las Vegas Aviators,/api/v1/teams/400,,,False,22.0,70,54,0.565,2310,Reno Aces,/api/v1/teams/2310,3789,Greater Nevada Field,/api/v1/venues/3789,/api/v1/game/659047/content,,,COVID-19,,,,,,,2021-09-30,Thursday,True
659094,c2e2ad33-d326-43d6-9dec-127916520027,/api/v1.1/game/659094/feed/live,R,2021,2021-10-01T22:05:00Z,2021-10-01,False,1,True,N,Y,N,44-659094-2021-10-01,2021,night,9,False,120.0,5.0,3.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,10.0,True,False,22.0,73,52,0.584,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,3.0,False,False,22.0,49,75,0.395,534,Rochester Red Wings,/api/v1/teams/534,2773,Frontier Field,/api/v1/venues/2773,/api/v1/game/659094/content,,,,,,,,,,2021-10-01,Friday,False
