game_pk,gameGuid,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.score,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link,rescheduleDate,rescheduleGameDate,status.reason,rescheduledFrom,rescheduledFromDate,description,resumeDate,resumeGameDate,resumedFrom,resumedFromDate,game_date,day_of_week,robot_umpire
664541,af29093d-f06d-4bf2-9653-b1905018fdec,/api/v1.1/game/664541/feed/live,R,2022,2022-05-10T22:45:00Z,2022-05-10,False,1,True,N,Y,N,44-664541-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,8.0,True,False,6.0,19,12,0.613,534,Rochester Red Wings,/api/v1/teams/534,2.0,False,False,6.0,15,16,0.484,533,Worcester Red Sox,/api/v1/teams/533,5410,Polar Park,/api/v1/venues/5410,/api/v1/game/664541/content,,,,,,,,,,,2022-05-10,Tuesday,True
665830,1c307ee6-0443-48c0-8089-024164dd0462,/api/v1.1/game/665830/feed/live,R,2022,2022-05-10T23:05:00Z,2022-05-10,False,1,True,N,Y,N,44-665830-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,3.0,True,False,6.0,21,9,0.7,556,Nashville Sounds,/api/v1/teams/556,2.0,False,False,6.0,18,13,0.581,564,Jacksonville Jumbo Shrimp,/api/v1/teams/564,2852,121 Financial Ballpark,/api/v1/venues/2852,/api/v1/game/665830/content,,,,,,,,,,,2022-05-10,Tuesday,True
665657,828d1cef-ee57-49a5-96da-cc90da22c83e,/api/v1.1/game/665657/feed/live,R,2022,2022-05-10T23:05:00Z,2022-05-10,False,1,True,N,Y,N,44-665657-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,14.0,True,False,6.0,17,14,0.548,422,Buffalo Bisons,/api/v1/teams/422,3.0,False,False,6.0,17,14,0.548,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,3230,Coca-Cola Park,/api/v1/venues/3230,/api/v1/game/665657/content,,,,,,,,,,,2022-05-10,Tuesday,True
664327,a7e9629c-d18a-4c97-a23d-51ed5cefeb41,/api/v1.1/game/664327/feed/live,R,2022,2022-05-10T23:05:00Z,2022-05-10,False,1,True,N,Y,N,44-664327-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,6.0,False,False,6.0,15,14,0.517,1960,St. Paul Saints,/api/v1/teams/1960,7.0,True,False,6.0,19,12,0.613,445,Columbus Clippers,/api/v1/teams/445,3970,Huntington Park,/api/v1/venues/3970,/api/v1/game/664327/content,,,,,,,,,,,2022-05-10,Tuesday,True
665912,50644124-6236-4ef2-b9af-995745802d55,/api/v1.1/game/665912/feed/live,R,2022,2022-05-10T23:38:00Z,2022-05-10,False,1,True,N,Y,N,44-665912-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2.0,False,False,6.0,15,15,0.5,541,Omaha Storm Chasers,/api/v1/teams/541,5.0,True,False,6.0,15,15,0.5,451,Iowa Cubs,/api/v1/teams/451,2844,Principal Park,/api/v1/venues/2844,/api/v1/game/665912/content,,,,,,,,,,,2022-05-10,Tuesday,True
665026,4d8006b7-c781-4e5e-bd56-12cfabfb2dd1,/api/v1.1/game/665026/feed/live,R,2022,2022-05-11T00:05:00Z,2022-05-10,False,1,True,N,E,N,44-665026-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,7.0,False,False,6.0,18,13,0.581,238,Oklahoma City Dodgers,/api/v1/teams/238,13.0,True,False,6.0,20,11,0.645,102,Round Rock Express,/api/v1/teams/102,2528,Dell Diamond,/api/v1/venues/2528,/api/v1/game/665026/content,,,,,,,,,,,2022-05-10,Tuesday,True
666075,a8575213-49d1-41b2-a642-5e0f3f22494b,/api/v1.1/game/666075/feed/live,R,2022,2022-05-11T00:35:00Z,2022-05-10,False,1,True,N,E,N,44-666075-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,7.0,False,False,6.0,15,16,0.484,105,Sacramento River Cats,/api/v1/teams/105,11.0,True,False,6.0,18,13,0.581,4904,El Paso Chihuahuas,/api/v1/teams/4904,4669,Southwest University Park,/api/v1/venues/4669,/api/v1/game/666075/content,,,,,,,,,,,2022-05-10,Tuesday,True
664268,21e556c7-9c10-4e53-847e-480d0913fb06,/api/v1.1/game/664268/feed/live,R,2022,2022-05-11T00:35:00Z,2022-05-10,False,1,True,N,E,N,44-664268-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,20.0,True,False,6.0,13,18,0.419,5434,Sugar Land Space Cowboys,/api/v1/teams/5434,1.0,False,False,6.0,13,18,0.419,342,Albuquerque Isotopes,/api/v1/teams/342,2683,Isotopes Park,/api/v1/venues/2683,/api/v1/game/664268/content,,,,,,,,,,,2022-05-10,Tuesday,True
665757,f2215597-5cd2-4f47-a65e-3c0e6ae2aad5,/api/v1.1/game/665757/feed/live,R,2022,2022-05-11T02:05:00Z,2022-05-10,False,1,True,N,E,N,44-665757-2022-05-10,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,11.0,True,False,6.0,17,14,0.548,561,Salt Lake Bees,/api/v1/teams/561,2.0,False,False,6.0,17,14,0.548,400,Las Vegas Aviators,/api/v1/teams/400,5355,Las Vegas Ballpark,/api/v1/venues/5355,/api/v1/game/665757/content,,,,,,,,,,,2022-05-10,Tuesday,True
664927,77156110-b1b6-47b1-a836-cd051f08e302,/api/v1.1/game/664927/feed/live,R,2022,2022-05-11T15:05:00Z,2022-05-11,False,1,True,N,Y,N,44-664927-2022-05-11,2022,day,9,False,120.0,6.0,2.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,8.0,True,False,6.0,11,20,0.355,552,Syracuse Mets,/api/v1/teams/552,7.0,False,False,6.0,11,20,0.355,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,2797,PNC Field,/api/v1/venues/2797,/api/v1/game/664927/content,,,,,,,,,,,2022-05-11,Wednesday,True
