game_pk,gameGuid,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,rescheduledFrom,rescheduledFromDate,description,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.score,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link,status.reason,rescheduleDate,rescheduleGameDate,resumeDate,resumeGameDate,resumedFrom,resumedFromDate,game_date,day_of_week,robot_umpire
722927,e7f56c93-a9aa-4bb0-8a2c-bfb53c4d8373,/api/v1.1/game/722927/feed/live,R,2023,2023-05-27T20:05:00Z,2023-05-27,False,1,True,N,E,N,44-722927-2023-05-27,2023,day,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,11.0,True,False,9.0,25,25,0.5,533,Worcester Red Sox,/api/v1/teams/533,7.0,False,False,9.0,24,26,0.48,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,2797,PNC Field,/api/v1/venues/2797,/api/v1/game/722927/content,,,,,,,,2023-05-27,Saturday,False
723664,5ad29442-b9e2-49b4-a077-8d441460ba68,/api/v1.1/game/723664/feed/live,R,2023,2023-05-27T22:05:00Z,2023-05-27,False,1,True,N,E,N,44-723664-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,4.0,True,False,9.0,27,22,0.551,234,Durham Bulls,/api/v1/teams/234,3.0,False,False,9.0,21,28,0.429,431,Gwinnett Stripers,/api/v1/teams/431,3810,Coolray Field,/api/v1/venues/3810,/api/v1/game/723664/content,,,,,,,,2023-05-27,Saturday,False
722784,f5535414-81b3-4e50-a496-93f49ddb7e95,/api/v1.1/game/722784/feed/live,R,2023,2023-05-27T22:35:00Z,2023-05-27,False,1,True,N,E,N,44-722784-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,6.0,True,False,9.0,26,23,0.531,416,Louisville Bats,/api/v1/teams/416,4.0,False,False,9.0,19,31,0.38,552,Syracuse Mets,/api/v1/teams/552,2823,NBT Bank Stadium,/api/v1/venues/2823,/api/v1/game/722784/content,,,,,,,,2023-05-27,Saturday,False
723525,bc4a5fe7-53ff-4066-bd79-520994730b61,/api/v1.1/game/723525/feed/live,R,2023,2023-05-27T22:35:00Z,2023-05-27,False,1,True,N,E,N,44-723525-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,4.0,False,False,9.0,25,25,0.5,494,Charlotte Knights,/api/v1/teams/494,20.0,True,False,9.0,22,26,0.458,564,Jacksonville Jumbo Shrimp,/api/v1/teams/564,2852,121 Financial Ballpark,/api/v1/venues/2852,/api/v1/game/723525/content,,,,,,,,2023-05-27,Saturday,False
723454,a16fcc15-b9e1-4dc5-a06c-496538644e6e,/api/v1.1/game/723454/feed/live,R,2023,2023-05-27T22:35:00Z,2023-05-27,False,1,True,N,E,N,44-723454-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,14.0,True,False,9.0,24,26,0.48,422,Buffalo Bisons,/api/v1/teams/422,9.0,False,False,9.0,24,25,0.49,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,3230,Coca-Cola Park,/api/v1/venues/3230,/api/v1/game/723454/content,,,,,,,,2023-05-27,Saturday,False
723804,c62187a6-72d7-4af4-8b62-f71fd5b589a5,/api/v1.1/game/723804/feed/live,R,2023,2023-05-27T23:05:00Z,2023-05-27,False,1,True,N,E,N,44-723804-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,9.0,False,False,9.0,23,26,0.469,484,Indianapolis Indians,/api/v1/teams/484,10.0,True,False,9.0,25,24,0.51,445,Columbus Clippers,/api/v1/teams/445,3970,Huntington Park,/api/v1/venues/3970,/api/v1/game/723804/content,,,,,,,,2023-05-27,Saturday,False
722706,607d6163-392a-4b63-a782-cb2136a063aa,/api/v1.1/game/722706/feed/live,R,2023,2023-05-27T23:05:00Z,2023-05-27,False,1,True,N,E,N,44-722706-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,12.0,True,False,9.0,21,27,0.438,534,Rochester Red Wings,/api/v1/teams/534,7.0,False,False,9.0,23,26,0.469,512,Toledo Mud Hens,/api/v1/teams/512,2767,Fifth Third Field,/api/v1/venues/2767,/api/v1/game/722706/content,,,,,,,,2023-05-27,Saturday,False
721413,245d6c43-e16e-4e93-a12b-32430edd6e25,/api/v1.1/game/721413/feed/live,R,2023,2023-05-27T23:05:00Z,2023-05-27,False,1,True,N,E,N,44-721413-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,6.0,True,False,9.0,22,28,0.44,561,Salt Lake Bees,/api/v1/teams/561,0.0,False,False,9.0,21,28,0.429,5434,Sugar Land Space Cowboys,/api/v1/teams/5434,5421,Constellation Field,/api/v1/venues/5421,/api/v1/game/721413/content,,,,,,,,2023-05-27,Saturday,False
723226,b984da13-6203-44c2-ae50-af1c4d777241,/api/v1.1/game/723226/feed/live,R,2023,2023-05-27T23:35:00Z,2023-05-27,False,1,True,N,E,N,44-723226-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,5.0,True,False,9.0,28,19,0.596,451,Iowa Cubs,/api/v1/teams/451,1.0,False,False,9.0,25,24,0.51,556,Nashville Sounds,/api/v1/teams/556,4715,First Horizon Park,/api/v1/venues/4715,/api/v1/game/723226/content,,,,,,,,2023-05-27,Saturday,False
723302,3714e9ad-42ac-4b8d-9591-f1fa67e8284c,/api/v1.1/game/723302/feed/live,R,2023,2023-05-27T23:35:00Z,2023-05-27,False,1,True,N,E,N,44-723302-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,11.0,True,False,9.0,35,14,0.714,568,Norfolk Tides,/api/v1/teams/568,6.0,False,False,9.0,26,24,0.52,235,Memphis Redbirds,/api/v1/teams/235,2542,AutoZone Park,/api/v1/venues/2542,/api/v1/game/723302/content,,,,,,,,2023-05-27,Saturday,False
722854,7e3a6a9f-9d94-4b98-88ac-ed433db27fd1,/api/v1.1/game/722854/feed/live,R,2023,2023-05-28T00:07:00Z,2023-05-27,False,1,True,N,E,N,44-722854-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,1.0,False,False,9.0,21,27,0.438,541,Omaha Storm Chasers,/api/v1/teams/541,14.0,True,False,9.0,26,22,0.542,1960,St. Paul Saints,/api/v1/teams/1960,5472,CHS Field,/api/v1/venues/5472,/api/v1/game/722854/content,,,,,,,,2023-05-27,Saturday,False
722002,65e7eb1c-8f35-4910-9d4a-de1ce3e5136f,/api/v1.1/game/722002/feed/live,R,2023,2023-05-28T00:35:00Z,2023-05-27,False,1,True,N,E,N,44-722002-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,14.0,True,False,9.0,26,23,0.531,102,Round Rock Express,/api/v1/teams/102,12.0,False,False,9.0,22,28,0.44,342,Albuquerque Isotopes,/api/v1/teams/342,2683,Isotopes Park,/api/v1/venues/2683,/api/v1/game/722002/content,,,,,,,,2023-05-27,Saturday,False
721930,c6f757bf-c807-4c85-b19e-702784547d57,/api/v1.1/game/721930/feed/live,R,2023,2023-05-28T00:35:00Z,2023-05-27,False,1,True,N,E,N,44-721930-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,8.0,False,False,9.0,29,21,0.58,2310,Reno Aces,/api/v1/teams/2310,14.0,True,False,9.0,23,27,0.46,4904,El Paso Chihuahuas,/api/v1/teams/4904,4669,Southwest University Park,/api/v1/venues/4669,/api/v1/game/721930/content,,,,,,,,2023-05-27,Saturday,False
725161,2fc4ec0f-6d09-4279-bb51-3474f84e1afa,/api/v1.1/game/725161/feed/live,R,2023,2023-05-28T01:05:00Z,2023-05-27,False,1,True,N,E,N,44-725161-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,3.0,False,False,9.0,23,27,0.46,400,Las Vegas Aviators,/api/v1/teams/400,11.0,True,False,9.0,24,26,0.48,529,Tacoma Rainiers,/api/v1/teams/529,2745,Cheney Stadium,/api/v1/venues/2745,/api/v1/game/725161/content,,,,,,,,2023-05-27,Saturday,False
721553,e52a24aa-583e-4392-892a-60293b894227,/api/v1.1/game/721553/feed/live,R,2023,2023-05-28T01:37:00Z,2023-05-27,False,1,True,N,E,N,44-721553-2023-05-27,2023,night,9,False,120,6.0,5.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,1.0,False,False,9.0,36,14,0.72,238,Oklahoma City Dodgers,/api/v1/teams/238,2.0,True,False,9.0,23,27,0.46,105,Sacramento River Cats,/api/v1/teams/105,2529,Sutter Health Park,/api/v1/venues/2529,/api/v1/game/721553/content,,,,,,,,2023-05-27,Saturday,False
723656,d76431ca-e996-4ee0-a834-b76b1894e9f0,/api/v1.1/game/723656/feed/live,R,2023,2023-05-28T17:05:00Z,2023-05-28,False,1,True,N,E,N,44-723656-2023-05-28,2023,day,9,False,120,6.0,6.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,0.0,False,False,9.0,27,23,0.54,234,Durham Bulls,/api/v1/teams/234,2.0,True,False,9.0,22,28,0.44,431,Gwinnett Stripers,/api/v1/teams/431,3810,Coolray Field,/api/v1/venues/3810,/api/v1/game/723656/content,,,,,,,,2023-05-28,Sunday,False
723805,3a471a75-cf0e-4b85-a545-ed8098d29c8c,/api/v1.1/game/723805/feed/live,R,2023,2023-05-28T17:05:00Z,2023-05-28,False,1,True,N,E,N,44-723805-2023-05-28,2023,day,9,False,120,6.0,6.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,4.0,False,False,9.0,23,27,0.46,484,Indianapolis Indians,/api/v1/teams/484,5.0,True,False,9.0,26,24,0.52,445,Columbus Clippers,/api/v1/teams/445,3970,Huntington Park,/api/v1/venues/3970,/api/v1/game/723805/content,,,,,,,,2023-05-28,Sunday,False
722929,fb373635-bd41-4332-a25c-f2e7c02696b9,/api/v1.1/game/722929/feed/live,R,2023,2023-05-28T17:05:00Z,2023-05-28,False,1,True,N,E,N,44-722929-2023-05-28,2023,day,9,False,120,6.0,6.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,4.0,False,False,9.0,25,26,0.49,533,Worcester Red Sox,/api/v1/teams/533,11.0,True,False,9.0,25,26,0.49,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,2797,PNC Field,/api/v1/venues/2797,/api/v1/game/722929/content,,,,,,,,2023-05-28,Sunday,False
723228,139fc5e8-1492-4c15-8bb6-0e749e6b40ec,/api/v1.1/game/723228/feed/live,R,2023,2023-05-28T19:05:00Z,2023-05-28,False,1,True,N,E,N,44-723228-2023-05-28,2023,day,9,False,120,6.0,6.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,14.0,True,False,9.0,29,19,0.604,451,Iowa Cubs,/api/v1/teams/451,9.0,False,False,9.0,25,25,0.5,556,Nashville Sounds,/api/v1/teams/556,4715,First Horizon Park,/api/v1/venues/4715,/api/v1/game/723228/content,,,,,,,,2023-05-28,Sunday,False
